Javaバージョン	JEP URL	Title	Type	Component
10	https://openjdk.org/jeps/310	JEP 310: Application Class-Data Sharing	Feature	hotspot / runtime
10	https://openjdk.org/jeps/312	JEP 312: Thread-Local Handshakes	Feature	hotspot / runtime
10	https://openjdk.org/jeps/313	JEP 313: Remove the Native-Header Generation Tool (javah)	Feature	tools / javah
10	https://openjdk.org/jeps/314	JEP 314: Additional Unicode Language-Tag Extensions	Feature	core-libs / java.util:i18n
10	https://openjdk.org/jeps/316	JEP 316: Heap Allocation on Alternative Memory Devices	Feature	hotspot / gc
10	https://openjdk.org/jeps/317	JEP 317: Experimental Java-Based JIT Compiler	Feature	hotspot / compiler
10	https://openjdk.org/jeps/319	JEP 319: Root Certificates	Feature	security-libs / java.security
10	https://openjdk.org/jeps/322	JEP 322: Time-Based Release Versioning	Feature	core-libs / java.lang
11	https://openjdk.org/jeps/181	JEP 181: Nest-Based Access Control	Feature	hotspot / runtime
11	https://openjdk.org/jeps/309	JEP 309: Dynamic Class-File Constants	Feature	hotspot / runtime
11	https://openjdk.org/jeps/315	JEP 315: Improve Aarch64 Intrinsics	Feature	hotspot / compiler
11	https://openjdk.org/jeps/318	JEP 318: Epsilon: A No-Op Garbage Collector (Experimental)	Feature	hotspot / gc
11	https://openjdk.org/jeps/320	JEP 320: Remove the Java EE and CORBA Modules	Feature	other-libs
11	https://openjdk.org/jeps/321	JEP 321: HTTP Client API	Feature	core-libs / java.net
11	https://openjdk.org/jeps/323	JEP 323: Local-Variable Syntax for Lambda Parameters	Feature	tools
11	https://openjdk.org/jeps/324	JEP 324: Key Agreement with Curve25519 and Curve448	Feature	security-libs / javax.crypto
11	https://openjdk.org/jeps/327	JEP 327: Unicode 10	Feature	core-libs / java.lang
11	https://openjdk.org/jeps/328	JEP 328: Flight Recorder	Feature	hotspot / jfr
11	https://openjdk.org/jeps/329	JEP 329: ChaCha20 and Poly1305 Cryptographic Algorithms	Feature	security-libs / javax.crypto
11	https://openjdk.org/jeps/330	JEP 330: Launch Single-File Source-Code Programs	Feature	tools / javac
11	https://openjdk.org/jeps/331	JEP 331: Low-Overhead Heap Profiling	Feature	hotspot / jvmti
11	https://openjdk.org/jeps/332	JEP 332: Transport Layer Security (TLS) 1.3	Feature	security-libs / javax.net.ssl
11	https://openjdk.org/jeps/333	JEP 333: ZGC: A Scalable Low-Latency Garbage Collector (Experimental)	Feature	hotspot / gc
11	https://openjdk.org/jeps/335	JEP 335: Deprecate the Nashorn JavaScript Engine for Removal	Feature	core-libs / jdk.nashorn
11	https://openjdk.org/jeps/336	JEP 336: Deprecate the Pack200 Tools and API	Feature	tools
14	https://openjdk.org/jeps/305	JEP 305: Pattern Matching for instanceof (Preview)	Feature	specification / language
14	https://openjdk.org/jeps/343	JEP 343: Packaging Tool (Incubator)	Feature	tools / jpackage
